ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE
1,4000,1,2,1,24
2,24000,1,2,2,26
3,10000,1,2,1,37
4,10000,0,2,1,57
5,10000,0,1,2,37
6,20000,1,2,2,23
7,28000,1,3,1,28
8,4000,0,3,2,35
9,52000,1,1,2,51
10,126000,1,2,2,41
11,14000,0,2,2,30
12,10000,1,3,3,23
13,4000,0,1,2,24
14,64000,0,1,1,49
15,36000,1,1,2,29
16,26000,1,3,2,39
17,24000,1,2,1,39
18,90000,1,1,1,40
19,18000,0,1,2,23
20,10000,0,3,2,23
21,10000,1,3,2,30
22,10000,1,3,1,47
23,10000,0,1,2,26
24,10000,0,2,2,33
25,20000,0,1,2,32
26,100000,1,2,1,54
27,32000,0,1,2,30
28,56000,0,2,1,40
29,12000,1,2,2,22
30,56000,0,1,2,31
31,72000,0,1,2,33
32,14000,1,1,2,25
33,28000,1,2,1,37
34,8000,1,1,2,30
35,42000,0,1,2,29
36,30000,1,5,2,46
37,76000,0,2,2,32
38,4000,0,1,2,24
39,20000,1,3,3,43
40,62000,1,2,1,49
41,36000,1,1,2,25
42,100000,1,1,1,45
43,36000,1,3,1,34
44,36000,1,2,1,34
45,80000,1,2,1,29
46,100000,1,3,1,28
47,14000,0,2,1,39
48,10000,1,2,1,46
49,26000,1,2,1,51
50,40000,0,1,1,57
51,42000,1,1,2,30
52,26000,1,3,2,29
53,4000,0,5,2,22
54,64000,0,2,2,29
55,40000,1,2,1,32
56,58000,1,1,2,37
57,4000,0,2,2,24
58,10000,0,3,2,25
59,60000,1,1,1,45
60,48000,1,2,2,44
61,94000,1,3,3,33
62,72000,1,1,2,26
63,80000,1,2,1,44
64,10000,1,3,2,49
65,32000,0,2,2,33
66,32000,1,2,2,32
67,26000,1,1,1,35
68,4000,0,3,2,44
69,56000,1,1,2,39
70,20000,1,1,2,27
71,32000,1,2,1,37
72,18000,0,2,2,35
73,72000,0,1,1,43
74,30000,0,1,2,27
75,4000,0,2,1,38
76,28000,0,1,2,32
77,76000,1,1,2,30
78,10000,1,3,2,22
79,12000,1,2,2,26
80,14000,1,2,2,24
81,70000,0,1,2,52
82,26000,0,2,2,38
83,72000,0,2,1,35
84,10000,0,3,1,47
85,56000,0,2,1,41
86,20000,1,1,2,24
87,6000,0,1,2,24
88,48000,0,1,2,28
89,16000,0,2,2,26
90,48000,1,2,2,38
91,10000,0,3,2,37
92,90000,0,1,1,40
93,62000,1,2,1,35
94,4000,0,1,2,27
95,4000,0,2,2,23
96,36000,0,1,1,36
97,10000,0,2,1,51
98,12000,0,3,1,55
99,48000,0,1,2,41
100,84000,0,2,1,34
101,66000,0,3,1,46
102,48000,0,2,1,34
103,30000,0,1,2,27
104,42000,1,2,1,33
105,10000,0,1,2,24
106,48000,0,1,2,47
107,36000,0,2,2,28
108,34000,0,2,2,29
109,4000,0,1,2,29
110,10000,0,1,2,28
111,40000,0,1,2,34
112,16000,1,2,1,23
113,52000,1,1,1,60
114,16000,0,1,2,25
115,70000,0,1,2,41
116,56000,1,2,1,56
117,28000,0,1,1,34
118,40000,1,1,2,37
119,40000,1,3,2,30
120,10000,0,3,1,57
121,6000,0,1,2,41
122,10000,0,2,2,27
123,50000,1,1,1,34
124,12000,1,2,1,46
125,22000,1,1,2,27
126,20000,0,2,1,27
127,18000,1,2,1,35
128,10000,1,2,2,22
129,60000,1,1,2,30
130,10000,1,2,2,22
131,10000,1,1,2,24
132,26000,0,3,1,56
133,16000,0,1,2,30
134,10000,0,2,2,30
135,16000,1,2,1,29
136,48000,0,1,2,37
137,16000,1,3,2,35
138,12000,1,2,1,24
139,4000,0,2,2,25
140,20000,1,2,1,38
141,40000,1,3,2,47
142,26000,1,2,1,34
143,4000,1,2,2,31
144,12000,1,1,2,27
145,36000,1,1,2,29
146,36000,1,1,2,24
147,10000,1,1,2,24
148,30000,1,2,1,34
149,4000,1,1,2,22
150,6000,1,3,2,22
151,36000,1,1,1,38
152,28000,0,1,2,31
153,24000,0,2,2,26
154,72000,1,2,1,48
155,4000,0,3,1,43
156,42000,1,2,1,41
157,16000,1,2,2,24
158,66000,1,1,1,50
159,42000,1,1,1,38
160,8000,1,3,1,43
161,6000,0,2,2,39
162,6000,0,3,1,42
163,48000,1,2,1,36
164,16000,0,2,2,36
165,62000,1,1,2,38
166,72000,1,1,1,40
167,66000,1,3,2,45
168,64000,1,2,2,33
169,10000,1,3,2,37
170,34000,1,1,2,28
171,4000,0,2,1,37
172,10000,0,2,2,23
173,4000,1,3,2,24
174,4000,0,2,2,23
175,10000,0,2,1,26
176,38000,0,2,2,34
177,16000,0,1,2,35
178,30000,1,2,2,27
179,42000,1,1,2,31
180,28000,1,2,3,41
181,12000,1,1,2,28
182,10000,0,1,2,39
183,36000,1,1,2,32
184,6000,1,1,2,40
185,4000,1,2,2,40
186,20000,1,2,2,27
187,66000,0,1,2,25
188,10000,0,3,1,46
189,6000,0,2,2,28
190,28000,1,2,2,26
191,32000,1,1,2,28
192,10000,0,2,1,25
193,28000,1,2,1,48
194,32000,1,2,1,33
195,44000,0,1,1,48
196,102000,1,1,2,29
197,10000,0,2,2,29
198,46000,1,1,2,37
199,16000,1,1,2,37
200,30000,1,2,1,25
201,26000,1,3,2,49
202,8000,1,1,2,48
203,10000,0,2,2,27
204,24000,0,1,1,34
205,52000,1,1,2,58
206,40000,1,2,2,33
207,14000,1,2,2,36
208,92000,0,1,1,40
209,10000,1,1,2,26
210,50000,1,2,1,31
211,6000,1,1,2,27
212,54000,0,2,1,44
213,20000,1,1,2,28
214,46000,1,3,1,32
215,42000,1,1,1,46
216,88000,1,2,1,46
217,20000,1,2,2,25
218,48000,1,2,1,46
219,10000,1,2,2,22
220,6000,0,2,1,43
221,2000,0,2,2,27
222,40000,0,1,2,31
223,24000,1,2,1,29
224,42000,1,2,1,36
225,60000,0,1,2,34
226,20000,0,2,2,37
227,88000,1,1,2,36
228,4000,1,1,2,25
229,40000,1,1,2,27
230,22000,1,2,2,26
231,60000,1,2,1,27
232,6000,0,3,1,55
233,12000,1,1,2,27
234,36000,1,2,1,34
235,4000,0,1,2,40
236,40000,1,3,1,49
237,12000,0,2,2,23
238,22000,1,2,2,36
239,52000,1,3,1,53
240,36000,0,2,2,29
241,22000,0,2,2,29
242,68000,1,1,2,27
243,46000,1,2,1,28
244,72000,1,2,2,32
245,42000,0,2,2,43
246,12000,1,2,1,34
247,68000,0,2,1,55
248,30000,0,1,1,40
249,26000,1,2,2,40
250,12000,1,1,2,28
251,80000,1,2,1,43
252,38000,1,1,2,28
253,52000,1,1,2,30
254,28000,1,2,2,31
255,24000,1,1,2,34
256,48000,1,2,2,30
257,10000,0,2,2,36
258,36000,0,1,1,39
259,36000,1,1,2,26
260,32000,1,1,2,29
261,10000,1,2,2,29
262,28000,1,2,2,31
263,6000,1,2,2,26
264,40000,0,1,1,36
265,76000,0,1,2,30
266,16000,1,2,2,43
267,36000,0,2,1,45
268,48000,1,2,2,26
269,76000,0,2,2,34
270,52000,0,1,1,34
271,100000,1,2,2,23
272,64000,1,2,2,30
273,22000,0,1,1,40
274,46000,1,1,2,35
275,66000,1,2,1,56
276,2000,0,2,2,24
277,60000,0,1,1,40
278,4000,1,2,1,32
279,32000,0,1,2,30
280,18000,1,1,2,34
281,6000,0,3,3,54
282,6000,0,3,1,58
283,6000,0,2,1,43
284,28000,1,1,2,28
285,10000,0,2,2,31
286,26000,1,2,2,29
287,10000,1,2,1,37
288,34000,1,2,2,28
289,16000,0,2,2,25
290,82000,1,5,1,42
291,16000,0,3,1,73
292,30000,0,2,1,43
293,52000,0,1,1,30
294,56000,1,2,1,39
295,62000,0,2,1,44
296,28000,1,2,2,29
297,28000,1,1,2,27
298,20000,0,1,2,38
299,10000,1,2,2,22
300,24000,1,2,2,25
301,48000,0,1,2,29
302,12000,1,3,3,42
303,6000,0,2,1,48
304,32000,1,1,2,29
305,40000,0,1,1,52
306,100000,0,1,1,37
307,64000,1,1,2,27
308,56000,0,1,2,31
309,40000,1,1,1,38
310,46000,1,1,1,32
311,46000,1,2,2,27
312,10000,1,3,1,35
313,40000,1,1,2,31
314,10000,1,1,2,30
315,52000,1,1,2,36
316,6000,0,1,2,24
317,88000,1,1,2,29
318,40000,0,2,1,38
319,98000,1,2,1,30
320,16000,1,2,1,32
321,34000,1,1,2,31
322,14000,0,1,2,27
323,42000,1,2,2,33
324,78000,1,1,2,27
325,22000,1,1,2,29
326,116000,1,1,1,36
327,54000,1,2,1,32
328,12000,1,1,2,27
329,22000,0,3,1,37
330,16000,1,1,2,23
331,10000,0,2,2,23
332,20000,0,1,2,32
333,40000,1,1,2,27
334,48000,0,1,2,44
335,44000,0,2,2,34
336,36000,1,1,1,53
337,40000,0,4,1,42
338,28000,1,3,1,30
339,120000,0,1,1,53
340,52000,0,2,2,37
341,40000,1,1,2,26
342,8000,0,2,2,39
343,26000,0,3,2,39
344,10000,0,1,2,32
345,14000,0,2,1,48
346,36000,1,2,1,38
347,16000,1,2,1,36
348,46000,1,1,2,28
349,34000,1,3,3,56
350,46000,0,1,1,59
351,46000,0,2,2,32
352,100000,0,2,1,38
353,18000,1,1,1,41
354,80000,1,2,2,41
355,36000,0,2,1,34
356,12000,0,3,1,38
357,12000,1,2,2,29
358,10000,0,1,2,44
359,14000,1,2,1,37
360,40000,0,1,2,31
361,50000,1,2,1,40
362,28000,0,2,2,26
363,18000,0,3,1,48
364,20000,1,2,1,43
365,38000,0,2,1,31
366,64000,0,2,1,39
367,44000,1,2,1,36
368,52000,1,1,1,34
369,6000,1,2,1,43
370,52000,0,2,2,30
371,34000,1,2,2,28
372,10000,0,1,1,41
373,40000,1,3,2,47
374,4000,0,2,2,23
375,4000,0,1,1,38
376,6000,1,2,1,38
377,18000,1,2,1,35
378,26000,1,1,1,33
379,6000,0,6,1,53
380,32000,0,1,2,35
381,36000,1,2,2,28
382,16000,1,2,1,30
383,24000,0,1,2,26
384,24000,1,2,2,35
385,72000,0,1,2,28
386,10000,0,2,2,23
387,20000,0,3,1,56
388,14000,0,3,1,32
389,10000,0,2,1,47
390,58000,1,1,1,34
391,6000,1,1,1,31
392,82000,1,2,2,27
393,28000,1,2,1,42
394,42000,1,1,2,32
395,44000,1,2,2,27
396,124000,1,2,1,45
397,72000,0,1,2,26
398,4000,1,2,2,21
399,10000,0,2,3,30
400,2000,0,2,2,46
401,20000,1,3,1,50
402,12000,0,2,2,25
403,88000,1,1,2,35
404,24000,0,2,1,44
405,22000,1,2,1,40
406,40000,1,1,2,38
407,30000,1,1,2,28
408,20000,1,1,2,24
409,72000,1,1,1,34
410,78000,1,1,2,31
411,32000,1,2,2,25
412,46000,1,1,2,28
413,24000,0,1,2,27
414,38000,1,1,2,41
415,10000,0,1,1,56
416,48000,1,1,1,42
417,126000,1,2,1,47
418,32000,1,1,1,33
419,22000,1,2,2,32
420,42000,1,3,1,53
421,54000,0,1,2,34
422,72000,1,2,2,52
423,72000,0,2,2,38
424,78000,1,1,2,45
425,50000,1,3,2,35
426,72000,0,1,2,28
427,10000,0,3,2,26
428,54000,1,1,1,40
429,10000,1,2,2,23
430,70000,0,1,2,33
431,32000,1,2,2,60
432,58000,0,1,1,53
433,54000,1,1,2,28
434,16000,0,1,2,31
435,6000,0,2,1,35
436,6000,0,2,2,28
437,18000,0,2,2,33
438,16000,1,3,2,53
439,10000,0,2,2,42
440,4000,1,1,2,25
441,42000,0,3,2,25
442,26000,1,2,2,29
443,52000,1,2,1,31
444,32000,0,1,2,34
445,10000,0,1,1,35
446,16000,0,2,1,32
447,40000,0,1,1,43
448,72000,0,2,2,29
449,42000,1,3,2,31
450,60000,1,2,1,36
451,62000,1,2,1,43
452,6000,0,3,1,59
453,28000,1,2,2,28
454,36000,1,2,2,31
455,10000,0,1,2,34
456,22000,1,1,2,24
457,90000,1,3,1,36
