ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default,F0,F1,F2,F3,F4,F5,F6
1,4000,1,2,1,24,2,2,-1,-1,-2,-2,782.6,620.4,137.8,0,0,0,0,137.8,0,0,0,0,1,0.19565,0,1,100,100,100,100
2,24000,1,2,2,26,-1,2,0,0,0,2,536.4,345,536.4,654.4,691,652.2,0,200,200,200,0,400,1,0.02235,0,0.372856078,0.305623472,0.289435601,0,100
3,10000,1,2,1,37,0,0,0,0,0,0,9398,9646.6,9858.2,5662.8,5791.8,5909.4,400,403.8,240,220,213.8,200,0,0.9398,0.041465387,0.040960824,0.042381861,0.037984737,0.036179646,0.5
4,10000,0,2,1,57,-1,0,-1,0,0,0,1723.4,1134,7167,4188,3829.2,3826.2,400,7336.2,2000,1800,137.8,135.8,0,0.17234,0.352733686,1.023608204,0.477554919,0.470072078,0.036014845,0.3395
5,10000,0,1,2,37,0,0,0,0,0,0,12880,11413.8,11521.6,3878.8,3923.8,4004.8,500,363,131.4,200,200,160,0,1.288,0.04380662,0.031506041,0.033876457,0.050970998,0.049940072,0.32
6,20000,1,2,2,23,0,-1,-1,0,0,-1,2375.2,76,120.2,44.2,-31.8,113.4,76,120.2,0,116.2,337.4,308.4,0,0.11876,1,1,0,-3.65408805,2.975308642,4.057894737
7,28000,1,3,1,28,0,0,2,0,0,0,2257,2819.2,2421.6,2442.2,2358.6,743.8,665.8,0,86.4,200,200,200,0,0.080607143,0.236166288,0,0.035377938,0.084796065,0.268889486,0.300390508
8,4000,0,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,2601.4,2782.4,0,0,0,2601.4,224.4,0,0,0,100,100,100,1,0.080649799,100
9,52000,1,1,2,51,-1,-1,-1,-1,-1,2,2452.2,4334,1993.2,1703.4,4457.4,2733.6,4363.6,1993.2,1716.6,4460.2,0,728,0,0.047157692,1.006829719,1,1.007749207,1.000628169,0,0.166834724
10,126000,1,2,2,41,-1,0,-1,-1,-1,-1,2427.4,1300,1300,1300,1300,574,200,1300,1300,1300,574,0,0,0.019265079,0.153846154,1,1,1,1,0
11,14000,0,2,2,30,1,2,2,0,0,2,13160.4,13473.8,13140.2,13356.4,7227.4,7378.8,640,0,600,600,300,0,1,0.940028571,0.047499592,0,0.044922284,0.083017406,0.040657017,0
12,10000,1,3,3,23,1,2,0,0,0,0,10122.8,5834.6,5623.2,5754.2,5906.2,6042.2,0,300,220,240,260,220,0,1.01228,0,0.053350405,0.038232943,0.040635265,0.043030684,100
