ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
1,2,2,-1,-1,-2,-2,782.6,620.4,137.8,0,0,0,0,137.8,0,0,0,0
2,-1,2,0,0,0,2,536.4,345,536.4,654.4,691,652.2,0,200,200,200,0,400
3,0,0,0,0,0,0,9398,9646.6,9858.2,5662.8,5791.8,5909.4,400,403.8,240,220,213.8,200
4,-1,0,-1,0,0,0,1723.4,1134,7167,4188,3829.2,3826.2,400,7336.2,2000,1800,137.8,135.8
5,0,0,0,0,0,0,12880,11413.8,11521.6,3878.8,3923.8,4004.8,500,363,131.4,200,200,160
6,0,-1,-1,0,0,-1,2375.2,76,120.2,44.2,-31.8,113.4,76,120.2,0,116.2,337.4,308.4
7,0,0,2,0,0,0,2257,2819.2,2421.6,2442.2,2358.6,743.8,665.8,0,86.4,200,200,200
8,-2,-2,-2,-2,-1,-1,0,0,0,0,2601.4,2782.4,0,0,0,2601.4,224.4,0
9,-1,-1,-1,-1,-1,2,2452.2,4334,1993.2,1703.4,4457.4,2733.6,4363.6,1993.2,1716.6,4460.2,0,728
10,-1,0,-1,-1,-1,-1,2427.4,1300,1300,1300,1300,574,200,1300,1300,1300,574,0
11,1,2,2,0,0,2,13160.4,13473.8,13140.2,13356.4,7227.4,7378.8,640,0,600,600,300,0
12,1,2,0,0,0,0,10122.8,5834.6,5623.2,5754.2,5906.2,6042.2,0,300,220,240,260,220
13,0,0,2,2,2,2,3075.2,3602,3485.6,3667.6,3581,3820.8,640,0,300,0,330,0
14,0,0,0,-1,-1,-1,50657.2,49307.2,38932.6,14014.8,1171.2,39119.8,2071.6,2000,15188,4000,39119.8,10000
15,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,-1,7671.6,5537.6,4897.8,4123.2,2360.4,186,600,307.4,200,400,186,6752.8
17,-1,-1,-1,-1,-1,-1,63.2,63.2,63.2,0,126.4,63.2,63.2,63.2,0,126.4,63.2,0
18,-2,-2,-2,-2,-2,-2,1102.4,3884,294.6,112,0,0,3885.6,294.6,112,0,0,225.6
