,ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
0,1,2,-1,-1,-1,-2,-2,782.6,620.4,137.8,0.0,0.0,0.0,0.0,137.8,0.0,0.0,0.0,0.0
1,2,-1,2,0,0,0,2,536.4,345.0,536.4,654.4,691.0,652.2,0.0,200.0,200.0,200.0,0.0,400.0
2,3,0,0,0,0,0,0,9398.0,9646.6,9858.2,5662.8,5791.8,5909.4,400.0,403.8,240.0,220.0,213.8,200.0
3,4,-1,-1,-1,0,0,0,1723.4,1134.0,7167.0,4188.0,3829.2,3826.2,400.0,7336.2,2000.0,1800.0,137.8,135.8
4,5,0,0,0,0,0,0,12880.0,11413.8,11521.6,3878.8,3923.8,4004.8,500.0,363.0,131.4,200.0,200.0,160.0
5,6,-1,-1,-1,0,0,-1,2375.2,76.0,120.2,44.2,-31.8,113.4,76.0,120.2,0.0,116.2,337.4,308.4
6,7,0,0,2,0,0,0,2257.0,2819.2,2421.6,2442.2,2358.6,743.8,665.8,0.0,86.4,200.0,200.0,200.0
7,8,-1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,2601.4,2782.4,0.0,0.0,0.0,2601.4,224.4,0.0
8,9,-1,-1,-1,-1,-1,2,2452.2,4334.0,1993.2,1703.4,4457.4,2733.6,4363.6,1993.2,1716.6,4460.2,0.0,728.0
9,10,-1,-1,-1,-1,-1,-1,2427.4,1300.0,1300.0,1300.0,1300.0,574.0,200.0,1300.0,1300.0,1300.0,574.0,0.0
10,11,1,2,2,0,0,2,13160.4,13473.8,13140.2,13356.4,7227.4,7378.8,640.0,0.0,600.0,600.0,300.0,0.0
11,12,1,2,0,0,0,0,10122.8,5834.6,5623.2,5754.2,5906.2,6042.2,0.0,300.0,220.0,240.0,260.0,220.0
12,13,0,0,2,2,2,2,3075.2,3602.0,3485.6,3667.6,3581.0,3820.8,640.0,0.0,300.0,0.0,330.0,0.0
13,14,0,0,-1,-1,-1,-1,50657.2,49307.2,38932.6,14014.8,1171.2,39119.8,2071.6,2000.0,15188.0,4000.0,39119.8,10000.0
14,15,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,0,0,0,0,-1,-1,7671.6,5537.6,4897.8,4123.2,2360.4,186.0,600.0,307.4,200.0,400.0,186.0,6752.8
16,17,-1,-1,-1,-1,-1,-1,63.2,63.2,63.2,0.0,126.4,63.2,63.2,63.2,0.0,126.4,63.2,0.0
17,18,-1,-2,-2,-2,-2,-2,1102.4,3884.0,294.6,112.0,0.0,0.0,3885.6,294.6,112.0,0.0,0.0,225.6
18,19,0,-1,0,-1,0,0,948.8,1414.0,0.0,1079.6,1272.0,1658.4,1151.4,0.0,1079.6,240.0,409.0,400.0
19,20,0,0,0,0,0,0,9524.0,8362.0,7204.6,5793.4,5965.8,6009.2,394.6,285.2,200.2,286.4,212.4,199.4
20,21,0,0,0,0,0,0,4508.2,3227.6,3432.6,3575.6,3786.2,3923.4,260.0,260.0,200.0,300.0,200.0,202.4
21,22,-1,-1,-1,-1,-1,-1,130.0,683.0,683.2,408.0,6086.0,51.4,683.0,684.2,408.8,6086.0,51.4,0.0
22,23,0,0,0,0,0,0,3065.8,3315.0,3499.2,3581.4,3675.0,2280.0,300.0,300.0,200.0,200.0,320.0,0.0
23,24,2,0,0,0,0,0,6103.6,5923.6,4420.4,4546.8,4643.4,4736.0,343.6,300.0,200.0,200.0,200.0,143.2
24,25,0,0,0,0,0,0,18607.2,16814.2,16576.0,16191.6,15740.6,15117.8,604.6,702.2,660.4,640.8,640.0,500.8
25,26,-1,-2,-2,-2,-2,-2,2185.8,830.4,4544.4,1504.2,14287.8,1796.2,830.4,4565.4,1504.2,14287.8,196.2,10316.4
26,27,-1,-1,-2,-2,-2,-1,6053.0,-26.2,-105.4,-184.6,-297.6,-376.8,26.2,79.2,79.2,113.0,158.4,0.0
27,28,0,0,0,0,0,0,37300.6,36265.6,36084.4,34082.0,34780.2,35482.6,1605.2,1612.0,1260.0,1280.0,1280.0,1347.4
28,29,0,0,0,-1,0,-1,3010.8,1961.2,2213.6,1205.2,-5667.0,3732.0,300.0,303.6,408.6,0.0,9534.2,123.4
29,30,-1,-1,2,-1,0,-1,99.6,1815.0,928.2,1995.2,3595.2,1895.4,1815.0,0.0,1995.2,1600.0,1905.0,156.2
30,31,0,0,0,0,0,0,43733.6,44259.2,41379.0,125739.8,39193.8,35844.8,2000.0,1400.0,1200.0,37768.0,5600.0,800.0
31,32,0,0,0,0,0,0,13504.2,13399.8,12789.8,12739.8,12943.6,13194.0,600.0,900.0,808.4,500.0,560.0,500.0
32,33,0,0,0,0,0,0,11900.8,12308.8,12585.0,12856.0,13415.8,13960.4,600.0,600.0,600.0,800.0,800.0,600.0
33,34,0,0,0,2,0,0,3785.4,4259.0,5184.2,5041.8,5327.2,5839.4,600.0,1000.0,0.0,400.0,600.0,0.0
