ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,sumC
22501,18000,1,2,2,34,0,0,0,0,0,0,5847.8,2805.4,2711.8,2866.2,2989.6,3109.8,303.6,300.0,200.0,200.0,200.0,1000.0,5,0.10821986169530193,0.11062762740615088,0.06977880120019539,0.0668985817500669,0.06431281754453662,4.1542040545031576,0.0
22502,100000,0,1,2,29,0,0,0,0,0,0,73593.0,82404.6,89001.4,108530.6,96600.6,94788.8,11000.0,8000.0,7600.0,4047.8,2750.0,2754.0,5,0.13348769364817012,0.08988622650879649,0.07002633358702522,0.04190243124783904,0.02901186638083824,0.412302606758529,0.0
22503,40000,1,3,2,34,0,0,2,0,0,-1,2214.6,1957.4,1107.0,502.6,365.6,746.2,461.2,2.4,10.0,60.0,747.6,13.2,4,0.2356186778379483,0.002168021680216802,0.019896538002387585,0.16411378555798686,1.00187617260788,0.051514205432407124,1.0
22504,50000,0,1,2,29,0,0,0,0,0,0,14177.4,13412.0,12712.2,11939.2,11375.0,11102.4,600.0,600.0,600.0,600.0,600.0,600.0,5,0.044736057262153295,0.04719875395289564,0.05025462342535513,0.05274725274725275,0.054042369217466496,1.0,0.0
22505,72000,1,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22506,14000,1,2,2,26,2,0,0,2,2,2,8217.4,8489.0,9004.0,8801.2,9381.0,9202.4,401.4,716.4,0.0,720.2,0.0,364.0,5,0.0472847214041701,0.07956463793869391,0.0,0.07677219912589277,0.0,0.9902067464635473,0.0
22507,12000,0,1,2,27,1,-2,-1,-1,-1,-1,-21.8,-85.0,51.8,-11.4,25.4,-37.8,0.0,200.0,0.0,100.0,0.0,200.0,0,-0.0,3.8610038610038613,-0.0,3.937007874015748,-0.0,3.333333333333333,8.0
22508,46000,1,1,2,27,-1,-1,-1,-1,-1,-1,3329.2,3453.0,2653.2,3067.8,2861.4,7384.6,3454.0,2656.2,3067.8,2861.4,7458.4,0.0,0,1.0002896032435564,1.001130710085934,1.0,1.0,1.0099937708203557,0.0,5.0
22509,100000,0,1,1,58,-2,-2,-2,-2,-2,-2,2741.8,1001.2,6226.0,636.0,0.0,1058.6,1001.2,6235.6,636.0,0.0,1058.6,153.6,0,1.0,1.00154192097655,1.0,10.0,1.0,0.08598875876122444,10.0
22510,10000,0,1,2,25,1,-1,-1,-2,-2,-2,0.0,156.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10.0,10.0,10.0,10.0,0.0,10.0
22511,2000,0,2,2,22,0,0,0,0,0,0,375.4,636.8,1200.6,715.2,734.0,890.2,300.0,585.4,200.0,60.0,200.0,100.0,5,0.47110552763819097,0.48758953856405135,0.2796420581655481,0.08174386920980926,0.2246686137946529,0.37163668797383675,2.0
22512,4000,1,1,2,22,0,0,2,-1,0,0,2805.6,3296.8,3160.0,3268.2,3335.0,0.0,600.0,0.0,3348.2,66.8,0.0,0.0,3,0.18199466148992963,0.0,1.0244783061012177,0.02002998500749625,10.0,0.0,10.0
22513,14000,0,3,2,42,1,2,2,2,2,0,7408.4,7234.2,7671.0,7884.6,7731.8,7872.4,0.0,620.0,400.0,0.0,300.0,300.0,5,0.0,0.08082388215356538,0.05073180630596352,0.0,0.03810781972460749,1.1363636363636362,0.0
22514,30000,1,1,2,29,2,0,0,0,0,0,9244.8,6998.6,6286.8,5303.6,4208.4,3308.0,320.0,343.6,209.8,300.0,400.0,1000.0,5,0.045723430400365785,0.05465419609340205,0.039558036050984235,0.071285999429712,0.12091898428053205,3.1778314478200076,0.0
22515,40000,1,1,2,34,-1,3,2,2,2,2,317.4,219.6,156.4,233.2,140.0,282.8,0.0,0.0,140.0,0.0,240.0,0.0,5,0.0,0.0,0.6003430531732419,0.0,0.8486562942008486,0.0,1.0
22516,10000,0,1,2,29,2,2,2,2,2,2,4997.4,4860.0,5318.2,5173.0,5533.4,5652.8,0.0,540.0,0.0,445.0,240.0,0.0,5,0.0,0.1015381143996089,0.0,0.08042071782267685,0.04245683555052363,0.0,0.0
22517,2000,0,2,1,56,2,2,2,0,0,0,419.4,838.6,795.6,812.4,839.2,865.2,460.0,0.0,30.0,40.0,40.0,32.0,5,0.548533269735273,0.0,0.03692762186115214,0.047664442326024785,0.04623208506703652,0.2807017543859649,1.0
22518,16000,0,1,2,31,-1,-1,-1,-1,-1,-1,156.0,0.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,78.0,78.0,78.0,0,10.0,1.0,1.0,1.0,1.0,1.25,10.0
22519,68000,0,1,2,32,-1,-1,-1,-1,-1,-1,609.6,1110.0,4667.4,858.2,16030.6,5164.0,1142.6,4690.6,862.8,16110.4,5189.8,403.2,0,1.0293693693693693,1.0049706474696836,1.0053600559310183,1.0049779796139882,1.0049961270333077,0.07200977275487387,5.0
22520,6000,1,2,2,22,0,0,0,0,0,0,5677.4,5922.4,6065.2,5600.8,5289.2,1282.2,337.2,280.0,112.0,600.0,353.0,0.0,5,0.05693637714440092,0.04616500692475104,0.019997143265247822,0.11343870528624367,0.2753080642645453,0.0,1.0
22521,12000,0,3,2,30,0,0,0,0,0,0,5264.8,5494.2,5621.6,4398.6,3979.8,3954.2,315.2,242.6,129.6,153.6,228.0,0.0,5,0.057369589749190056,0.04315497367297566,0.029463920338289453,0.038594904266546055,0.05766020939760255,0.0,0.0
22522,72000,1,1,1,45,-1,-1,2,0,-1,-1,78.0,234.0,156.0,78.0,78.0,78.0,234.0,0.0,0.0,78.0,78.0,78.0,2,1.0,0.0,0.0,1.0,1.0,1.0,3.0
22523,40000,0,1,1,53,2,2,2,2,2,2,27636.0,28154.8,28492.0,28819.6,29424.8,29906.2,1260.0,1100.0,1100.0,1100.0,1000.0,1000.0,5,0.044752582152954384,0.038607328372876594,0.038168468681036516,0.03738343166308692,0.03343788244578047,0.8992805755395683,0.0
