ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default,result1,xgbresult,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,P1
9651,0,0,3,2,35,0,0.5,2,0.5,0.5,0.1,1189,1636.8,1567.8,1599.8,0,0,469,0,32,0,0,0,1,0,0,3,0.5,0,0.2,1,1,0,0
18080,0,0,2,2,20,0,0.5,0.5,0.5,0.5,0.5,860.8,1064.8,1301.8,1462.6,1293.8,1397.6,220,255.8,216.6,100,200,200,0,0,0,5,0.5,0.2,0.2,0.2,0.2,1,0
5815,1,0,3,2,40,4,3,2,0.5,0.5,0.5,29845.8,27697.4,25503.2,24906,24187.4,13542.2,0,0,1200,1013.4,309.6,24172.4,1,0,1,5,0,0,0.2,0.2,0.2,1,35
1919,2,1,1,2,25,2,2,2,2,0.5,0.5,13679.6,14712.8,14709.6,8846.8,8519.8,9238.4,1380,393.2,2.4,320.8,1032.8,220.8,1,1,1,5,0.2,0.2,0.01,0.2,0.2,0.5,0
6797,2,1,1,1,40,2,2,0.5,0.5,0.5,0.5,48703.4,45673.6,44882.8,39245.8,38010,36755.8,0,2000,1440,1400.2,1380,1280,0,1,1,5,0,0.2,0.2,0.2,0.2,1,2
3277,0,0,1,1,20,0.0001,0,0.5,0,0,0.1,125,140.4,63.2,63.2,63.2,63.2,141.8,63.2,63.2,63.2,63.2,63.2,1,0,0,0,1,1,1,1,1,1,0
15069,1,1,1,2,40,0,0.5,0.5,0.5,0.5,0.5,12323.6,12076,11713.4,15905.4,3790,3933.4,481.2,440,4400.8,131.2,200,79.2,0,0,0,5,0.2,0.2,0.5,0.2,0.2,0.2,0
19087,2,1,2,2,25,0,0.5,0.5,0.5,0.5,0.5,9213.2,7790.4,5947,3076.2,2495,2107,390.2,606.8,600,600,600,18.4,0,0,0,5,0.2,0.2,0.2,0.5,0.5,0.2,0
8675,3,0,1,2,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,678.8,0.0001,7478.4,1221.2,2967.8,2241.8,0,7515.6,1227.2,2982.6,2252.8,459.2,0,0,0,0,0,1,1,1,1,0.2,1
3130,5,0,3,2,40,0,0.5,0.5,0.5,0.5,0.5,52427.6,48458,44296,40334,36269,32000,2005.4,1703.4,1404,1364.2,1205.4,1002,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,1
21271,2,1,1,1,35,0.0001,0,0.0001,0.0001,0.0001,0.0001,1508.4,0.0001,3122.2,100.4,156.2,150.8,0,3137.8,100.8,156.8,151.4,401,0,0,0,0,0,1,1,1,1,0.7,1
11718,1,1,2,2,25,0.0001,0,2,0,0.5,0.1,79.2,158.4,79.2,158.4,79.2,79.2,158.4,0,158.4,0,79.2,79.2,0,0,0,2,1,0,1,0,1,1,0
12393,0,0,3,2,20,0,0.5,0.5,0.5,0.5,0.5,3394.6,3596.8,3749.6,3925.4,3924.8,3930.4,320,271.4,247.2,124.6,130.6,134.6,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,0
7170,1,1,2,2,20,0,0.5,2,0.5,0.5,0.5,13101.6,10076.4,9854.2,10089.8,10327.2,10733.2,800,0,400,400,600,400,1,0,0,5,0.2,0,0.2,0.2,0.2,1,1
10711,1,0,3,1,35,2,2,2,2,2,2,22134.8,26261.2,25540.2,27110.2,27171.8,26937.4,4500,0,2000,520,460,1060,1,1,1,5,0.2,0,0.2,0.2,0.2,1,2
1778,2,1,1,1,40,0.0001,0,0.5,0,0,0.1,583,840.6,33.4,670.2,328.8,346.6,840.6,40,670.2,328.8,346.6,947.4,0,0,0,0,1,1,1,1,1,1,1
