ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,P1,result1
9651,0.0,0,3,2,35,0.0,0.5,2.0,0.5,0.5,0.1,1189.0,1636.8,1567.8,1599.8,0.0,0.0,469.0,0.0,32.0,0.0,0.0,0.0,1,3,0.5,0.0,0.2,1.0,1.0,0.0,0.0,0
18080,0.0,0,2,2,20,0.0,0.5,0.5,0.5,0.5,0.5,860.8,1064.8,1301.8,1462.6,1293.8,1397.6,220.0,255.8,216.6,100.0,200.0,200.0,0,5,0.5,0.2,0.2,0.2,0.2,1.0,0.0,0
5815,1.0,0,3,2,40,4.0,3.0,2.0,0.5,0.5,0.5,29845.8,27697.4,25503.2,24906.0,24187.4,13542.2,0.0,0.0,1200.0,1013.4,309.6,24172.4,1,5,0.0,0.0,0.2,0.2,0.2,1.0,35.0,0
1919,2.0,1,1,2,25,2.0,2.0,2.0,2.0,0.5,0.5,13679.6,14712.8,14709.6,8846.8,8519.8,9238.4,1380.0,393.2,2.4,320.8,1032.8,220.8,1,5,0.2,0.2,0.01,0.2,0.2,0.5,0.0,1
6797,2.0,1,1,1,40,2.0,2.0,0.5,0.5,0.5,0.5,48703.4,45673.6,44882.8,39245.8,38010.0,36755.8,0.0,2000.0,1440.0,1400.2,1380.0,1280.0,0,5,0.0,0.2,0.2,0.2,0.2,1.0,2.0,1
3277,0.0,0,1,1,20,0.0001,0.0,0.5,0.0,0.0,0.1,125.0,140.4,63.2,63.2,63.2,63.2,141.8,63.2,63.2,63.2,63.2,63.2,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
15069,1.0,1,1,2,40,0.0,0.5,0.5,0.5,0.5,0.5,12323.6,12076.0,11713.4,15905.4,3790.0,3933.4,481.2,440.0,4400.8,131.2,200.0,79.2,0,5,0.2,0.2,0.5,0.2,0.2,0.2,0.0,0
19087,2.0,1,2,2,25,0.0,0.5,0.5,0.5,0.5,0.5,9213.2,7790.4,5947.0,3076.2,2495.0,2107.0,390.2,606.8,600.0,600.0,600.0,18.4,0,5,0.2,0.2,0.2,0.5,0.5,0.2,0.0,0
8675,3.0,0,1,2,40,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,678.8,0.0001,7478.4,1221.2,2967.8,2241.8,0.0,7515.6,1227.2,2982.6,2252.8,459.2,0,0,0.0,1.0,1.0,1.0,1.0,0.2,1.0,0
3130,5.0,0,3,2,40,0.0,0.5,0.5,0.5,0.5,0.5,52427.6,48458.0,44296.0,40334.0,36269.0,32000.0,2005.4,1703.4,1404.0,1364.2,1205.4,1002.0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,1.0,0
21271,2.0,1,1,1,35,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,1508.4,0.0001,3122.2,100.4,156.2,150.8,0.0,3137.8,100.8,156.8,151.4,401.0,0,0,0.0,1.0,1.0,1.0,1.0,0.7,1.0,0
11718,1.0,1,2,2,25,0.0001,0.0,2.0,0.0,0.5,0.1,79.2,158.4,79.2,158.4,79.2,79.2,158.4,0.0,158.4,0.0,79.2,79.2,0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
12393,0.0,0,3,2,20,0.0,0.5,0.5,0.5,0.5,0.5,3394.6,3596.8,3749.6,3925.4,3924.8,3930.4,320.0,271.4,247.2,124.6,130.6,134.6,0,5,0.2,0.2,0.2,0.2,0.2,0.7,0.0,0
7170,1.0,1,2,2,20,0.0,0.5,2.0,0.5,0.5,0.5,13101.6,10076.4,9854.2,10089.8,10327.2,10733.2,800.0,0.0,400.0,400.0,600.0,400.0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0
10711,1.0,0,3,1,35,2.0,2.0,2.0,2.0,2.0,2.0,22134.8,26261.2,25540.2,27110.2,27171.8,26937.4,4500.0,0.0,2000.0,520.0,460.0,1060.0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,2.0,1
1778,2.0,1,1,1,40,0.0001,0.0,0.5,0.0,0.0,0.1,583.0,840.6,33.4,670.2,328.8,346.6,840.6,40.0,670.2,328.8,346.6,947.4,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
20195,1.0,0,2,3,30,2.0,2.0,2.0,0.5,0.5,0.5,25349.8,27173.4,26449.8,26483.2,26391.8,25675.0,2248.6,0.0,1120.0,1030.0,1020.0,902.4,1,5,0.2,0.0,0.2,0.2,0.2,1.0,1.0,1
22338,1.0,0,2,1,25,1.0,2.0,0.5,0.5,0.5,2.0,9054.2,8849.4,9057.4,9266.4,9943.0,9757.6,0.0,411.0,420.0,895.2,0.0,760.0,0,5,0.0,0.2,0.2,0.2,0.0,1.0,1.0,1
3105,2.0,0,1,2,40,0.0,0.5,0.5,2.0,0.5,0.5,23058.8,23589.0,26073.0,25356.0,25914.0,26710.6,1200.0,3200.0,0.0,1000.0,1260.0,600.0,0,5,0.2,0.2,0.0,0.2,0.2,0.5,1.0,0
12901,1.0,1,1,2,25,0.0001,0.0,0.5,0.0,0.0,0.1,1190.6,208.8,490.0,49.6,39.6,0.0,208.8,490.0,49.6,39.6,0.0,578.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
11430,1.0,1,3,1,30,0.0,0.5,2.0,0.5,0.5,0.5,24955.4,26653.0,25942.6,25976.6,24469.8,20283.0,2400.0,0.0,1020.0,964.0,768.8,900.0,0,5,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0
