ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,Default,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,c00,c04,c05,xgbresult
9651,4.0,0,3,2,35,0,0,2,0,0,1,3,0.5,0.0,0.2,1.0,1.0,0.0,2,-2147483648,-2147483648,0.0
18080,2.0,0,2,2,20,0,0,0,0,0,0,5,0.5,0.2,0.2,0.2,0.2,1.0,3,5,5,0.0
5815,24.0,0,3,2,40,4,3,2,0,0,1,5,0.0,0.0,0.2,0.2,0.2,1.0,2,9,5,1.0
1919,40.0,1,1,2,25,2,2,2,2,0,1,5,0.2,0.2,0.01,0.2,0.2,0.5,3,2,2,1.0
6797,44.0,1,1,1,40,2,2,0,0,0,0,5,0.0,0.2,0.2,0.2,0.2,1.0,10,8,9,1.0
3277,4.0,0,1,1,20,-1,-1,-1,-1,-1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0,-2147483648,-2147483648,0.0
15069,20.0,1,1,2,40,0,0,0,0,0,0,5,0.2,0.2,0.5,0.2,0.2,0.2,6,1,1,0.0
19087,42.0,1,2,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.5,0.5,0.2,2,0,0,0.0
8675,58.0,0,1,2,40,-2,-1,-2,-2,-2,0,0,0.0,1.0,1.0,1.0,1.0,0.2,0,-2147483648,-2147483648,0.0
3130,90.0,0,3,2,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,5,3,3,0.0
21271,42.0,1,1,1,35,-2,-1,-2,-2,-2,0,0,0.0,1.0,1.0,1.0,1.0,0.7,0,-2147483648,-2147483648,0.0
11718,26.0,1,2,2,25,-1,-1,2,-1,0,0,2,1.0,0.0,1.0,0.0,1.0,1.0,-2147483648,0,-2147483648,0.0
12393,4.0,0,3,2,20,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,8,9,10,0.0
7170,14.0,1,2,2,20,0,0,2,0,0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,9,7,8,0.0
10711,28.0,0,3,1,35,2,2,2,2,2,1,5,0.2,0.0,0.2,0.2,0.2,1.0,7,9,10,1.0
1778,46.0,1,1,1,40,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
20195,26.0,0,2,3,30,2,2,2,0,0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,9,9,10,1.0
22338,18.0,0,2,1,25,1,2,0,0,0,0,5,0.0,0.2,0.2,0.2,0.0,1.0,4,5,5,0.0
3105,44.0,0,1,2,40,0,0,0,2,0,0,5,0.2,0.2,0.0,0.2,0.2,0.5,5,5,5,0.0
12901,10.0,1,1,2,25,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,-2147483648,-2147483648,0.0
11430,26.0,1,3,1,30,0,0,2,0,0,0,5,0.2,0.0,0.2,0.2,0.2,1.0,9,9,8,0.0
20525,4.0,0,3,1,25,0,0,0,2,0,0,5,0.2,0.2,0.0,0.2,0.2,1.0,5,9,5,0.0
16045,30.0,0,1,1,50,1,2,2,2,2,1,5,0.0,0.2,0.2,0.2,0.2,0.0,1,1,1,1.0
8585,88.0,1,2,2,30,0,0,0,0,0,0,4,0.2,0.5,0.2,0.5,1.0,0.2,1,0,-2147483648,0.0
7023,100.0,1,2,1,50,-1,-1,-1,-1,0,0,1,1.0,1.0,1.0,0.0,1.0,0.2,0,2,-2147483648,0.0
