ID,Default
22501,0
22502,0
22503,0
22504,0
22505,0
22506,1
22507,0
22508,0
22509,0
22510,0
22511,0
22512,0
22513,1
22514,1
22515,1
22516,1
22517,1
22518,0
22519,0
22520,0
22521,0
22522,0
22523,1
22524,0
22525,0
22526,0
22527,0
22528,0
22529,0
22530,0
22531,0
22532,0
22533,0
22534,0
22535,0
22536,1
22537,0
22538,0
22539,0
22540,1
22541,0
22542,0
22543,0
22544,0
22545,0
22546,0
22547,0
22548,0
22549,0
22550,0
22551,0
22552,0
22553,0
22554,1
22555,0
22556,0
22557,0
22558,0
22559,0
22560,0
22561,0
22562,0
22563,1
22564,0
22565,0
22566,0
22567,0
22568,0
22569,0
22570,0
22571,0
22572,1
22573,0
22574,0
22575,0
22576,0
22577,0
22578,0
22579,0
22580,1
22581,0
22582,0
22583,0
22584,0
22585,0
22586,0
22587,0
22588,0
22589,1
22590,0
22591,1
22592,0
22593,1
22594,0
22595,0
22596,0
22597,0
22598,0
22599,0
22600,0
22601,0
22602,0
22603,1
22604,0
22605,0
22606,0
22607,1
22608,0
22609,0
22610,0
22611,0
22612,0
22613,0
22614,0
22615,0
22616,0
22617,0
22618,0
22619,0
22620,0
22621,0
22622,0
22623,0
22624,0
22625,0
22626,0
22627,0
22628,0
22629,1
22630,1
22631,0
22632,1
22633,0
22634,0
22635,0
22636,1
22637,0
22638,0
22639,0
22640,0
22641,0
22642,0
22643,0
22644,0
22645,0
22646,0
22647,0
22648,0
22649,0
22650,1
22651,0
22652,0
22653,0
22654,1
22655,0
22656,0
22657,0
22658,0
22659,0
22660,0
22661,0
22662,1
22663,0
22664,0
22665,0
22666,0
22667,0
22668,1
22669,0
22670,0
22671,0
22672,0
22673,0
22674,0
22675,0
22676,0
22677,1
22678,0
22679,0
22680,0
22681,0
22682,0
22683,0
22684,0
22685,0
22686,0
22687,0
22688,0
22689,0
22690,0
22691,0
22692,0
22693,0
22694,0
22695,1
22696,1
22697,0
22698,1
22699,0
22700,1
22701,0
22702,0
22703,0
22704,1
22705,0
22706,0
22707,1
22708,0
22709,0
22710,0
22711,0
22712,0
22713,0
22714,0
22715,0
22716,1
22717,0
22718,0
22719,0
22720,0
22721,0
22722,0
22723,0
22724,0
22725,0
22726,0
22727,1
22728,1
22729,0
22730,0
22731,0
22732,0
22733,0
22734,0
22735,1
22736,0
22737,0
22738,0
22739,0
22740,0
22741,0
22742,0
22743,0
22744,0
22745,0
22746,0
22747,0
22748,0
22749,0
22750,0
22751,0
22752,0
22753,0
22754,0
22755,0
22756,0
22757,0
22758,0
22759,0
22760,0
22761,0
22762,0
22763,1
22764,1
22765,0
22766,0
22767,0
22768,0
22769,0
22770,0
22771,1
22772,0
22773,0
22774,1
22775,0
22776,0
22777,0
22778,1
22779,0
22780,0
22781,0
22782,0
22783,0
22784,1
22785,0
22786,0
22787,1
22788,0
22789,1
22790,0
22791,0
22792,0
22793,0
22794,0
22795,0
22796,1
22797,0
22798,0
22799,0
22800,0
22801,0
22802,1
22803,0
22804,0
22805,0
22806,0
22807,0
22808,0
22809,0
22810,0
22811,0
22812,1
22813,0
22814,0
22815,0
22816,0
22817,0
22818,0
22819,0
22820,0
22821,0
22822,0
22823,0
22824,0
22825,0
22826,0
22827,0
22828,1
22829,1
22830,0
22831,0
22832,0
22833,0
22834,0
22835,0
22836,0
22837,0
22838,0
22839,0
22840,0
22841,1
22842,0
22843,0
22844,0
22845,0
22846,0
22847,0
22848,1
22849,0
22850,1
22851,0
22852,0
22853,0
