ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default
7156,10000,1,3,1,48,0,0,0,0,0,0,7606.2,6335.4,5448.0,6301.0,5195.8,5185.0,400.0,400.0,1000.0,400.0,4200.0,0.0,0
11516,104000,1,1,1,46,1,2,2,0,0,2,26778.0,21385.6,7447.6,7258.6,11165.2,6997.8,1004.4,0.0,4000.0,8000.0,0.0,1000.0,0
4390,40000,1,2,2,28,1,2,0,0,2,2,12368.8,12058.8,12732.6,13519.2,13277.6,14254.4,0.0,1000.0,1000.0,0.0,1200.0,0.0,1
2554,16000,1,2,1,30,0,0,0,0,0,2,8551.0,9010.6,9220.8,9665.4,10709.8,10491.4,600.0,360.0,600.0,1200.0,580.0,400.0,0
4350,10000,0,1,2,23,4,3,2,0,0,2,5420.2,5286.2,2821.8,1883.4,1990.4,1833.0,17.6,2.4,94.6,165.0,64.6,2000.0,0
7442,80000,1,1,1,38,-2,-2,-2,-2,-2,-2,24.6,24.6,24.6,0.0,69.8,0.0,24.6,24.6,0.0,69.8,0.0,0.0,0
20343,34000,0,1,1,41,0,0,0,0,0,0,14063.4,11348.4,9835.2,8393.8,7481.8,7242.8,515.8,1003.8,2008.2,1002.4,1004.8,1002.4,0
20413,26000,0,1,2,49,2,2,2,2,2,2,13747.8,14004.8,13669.0,14497.4,14718.2,15032.2,600.0,0.0,1180.0,580.0,580.0,580.0,1
21242,40000,1,3,1,28,-2,-2,-2,-2,-2,-2,17.2,1404.8,293.2,293.2,95.8,489.6,1413.2,294.6,294.6,97.2,688.4,2.4,1
18753,72000,0,3,1,37,-1,-1,-1,-2,-2,-2,218.0,60.6,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,172.0,0
3153,42000,1,1,2,44,0,0,0,0,0,0,25123.0,15497.0,15933.6,18465.2,6100.0,5053.0,1000.0,800.0,680.4,402.6,205.2,200.0,0
6512,90000,0,1,1,34,0,0,0,0,0,0,90222.6,92052.2,91140.2,90311.8,85847.0,78311.8,3700.0,4000.0,3400.0,3260.0,2821.6,3200.0,0
3625,28000,1,2,1,24,0,0,0,0,2,0,24248.2,13585.8,13107.2,13529.0,12567.8,10691.4,800.0,800.0,1600.0,0.0,1000.0,400.0,0
9254,102000,1,4,1,34,-2,-2,-1,0,-1,-1,2110.8,113.6,4411.6,4641.0,2314.2,2435.8,214.8,4531.4,2317.2,4927.4,2543.8,4159.6,0
21020,32000,1,1,1,30,-1,-1,-1,0,-1,-1,192.0,719.4,726.6,541.4,1217.4,970.4,719.4,726.6,540.4,1217.4,970.4,1885.0,1
13302,70000,1,2,1,50,0,0,0,0,0,0,52678.0,53498.8,41127.2,40768.8,40822.8,41489.6,2106.4,1843.8,1759.4,1600.8,2002.4,2001.2,1
18212,40000,0,3,1,30,0,0,0,0,0,0,28357.0,28986.6,29620.6,29627.4,30301.0,30945.6,1400.0,1400.0,800.0,800.0,800.0,800.0,0
6152,30000,1,1,1,34,-1,-1,-1,-1,-1,-1,1955.8,12182.2,3959.2,345.0,230.0,0.0,12233.6,3959.2,345.0,230.0,0.0,0.0,0
11325,50000,0,1,2,33,-2,-2,-2,-2,-2,-2,1003.4,4493.8,-5.8,-5.8,-5.8,-5.8,4516.2,0.0,0.0,0.0,0.0,1164.2,0
8423,4000,0,1,1,50,0,0,-2,-2,-2,-2,1832.8,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,260.0,0.0,0.0,1
2072,36000,1,1,2,30,0,0,0,0,0,0,22729.4,10598.4,7678.8,6066.4,22164.8,19932.2,600.0,634.0,400.0,20000.0,1000.0,800.0,0
3790,20000,1,1,2,25,-1,0,0,-1,-1,0,3331.8,2717.0,1577.2,1115.6,1721.6,2351.2,2000.0,800.0,1115.6,2351.2,2000.0,1094.0,0
18230,56000,0,2,1,37,0,0,0,0,0,0,17005.8,14270.6,13536.0,13034.6,12512.8,11927.6,525.0,499.4,582.8,384.2,400.2,254.0,0
1555,10000,0,2,2,40,0,0,0,0,-1,0,5313.2,2970.2,802.6,405.4,3018.0,2815.6,600.0,200.0,8.2,6105.0,95.4,137.6,0
12422,24000,0,1,2,28,0,0,0,2,2,0,1432.8,1876.6,3314.2,3321.4,3208.6,3275.8,503.0,1540.6,120.0,0.0,119.0,119.8,1
12133,10000,1,2,1,47,0,0,0,0,0,0,9914.2,7536.0,6386.4,5060.0,3780.4,3784.0,400.0,362.4,400.0,132.8,140.0,141.8,0
2114,10000,1,1,2,24,4,3,2,2,2,2,7793.0,7612.6,7767.6,7919.6,8062.6,8258.6,0.0,340.0,340.0,300.0,360.0,340.0,1
